id,title,genres,overview,vote_average,cast,mood,poster_url 1,"The Shawshank
Redemption","Drama","Two imprisoned men bond over a number of years, finding
solace and eventual redemption through acts of common decency.",9.3,"Tim
Robbins, Morgan Freeman, Bob
Gunton","sad","https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=400&q=80"
12,"The Lord of the Rings: The Fellowship of the Ring","Action, Adventure,
Drama","A meek Hobbit from the Shire and eight companions set out on a journey
to destroy the powerful One Ring and save Middle-earth from the Dark Lord
Sauron.",8.8,"Elijah Wood, Ian McKellen, Orlando Bloom","friends
together","https://images.unsplash.com/photo-1464366400600-7168b8af9bc3?w=400&q=80"
13,"Back to the Future","Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old
high school student, is accidentally sent thirty years into the past in a
time-traveling DeLorean invented by his close friend, the eccentric scientist
Doc Brown.",8.5,"Michael J. Fox, Christopher Lloyd, Lea
Thompson","happy","https://images.unsplash.com/photo-1495012379376-194a416fce5f?w=400&q=80"
14,"E.T. the Extra-Terrestrial","Family, Sci-Fi","A troubled child summons the
courage to help a friendly alien escape Earth and return to his home
world.",7.9,"Henry Thomas, Drew Barrymore, Peter
Coyote","happy","https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=400&q=80"
15,"Spider-Man: Into the Spider-Verse","Animation, Action, Adventure","Teen
Miles Morales becomes the Spider-Man of his universe, and must join with five
spider-powered individuals from other dimensions to stop a threat for all
realities.",8.4,"Shameik Moore, Jake Johnson, Hailee
Steinfeld","vibe","https://images.unsplash.com/photo-1604200213928-ba3cf4fc8436?w=400&q=80"
16,"Interstellar","Adventure, Drama, Sci-Fi","A team of explorers travel through
a wormhole in space in an attempt to ensure humanity's survival.",8.7,"Matthew
McConaughey, Anne Hathaway, Jessica
Chastain","sad","https://images.unsplash.com/photo-1419242902214-272b3f66ee7a?w=400&q=80"
17,"Gladiator","Action, Adventure, Drama","A former Roman General sets out to
exact vengeance against the corrupt emperor who murdered his family and sent him
into slavery.",8.5,"Russell Crowe, Joaquin Phoenix, Connie
Nielsen","sad","https://images.unsplash.com/photo-1533038590840-1cbeaec58334?w=400&q=80"
18,"The Notebook","Drama, Romance","A poor yet passionate young man falls in
love with a rich young woman, giving her a sense of freedom, but they are soon
separated because of their social differences.",7.8,"Ryan Gosling, Rachel
McAdams, James
Garner","love","https://images.unsplash.com/photo-1518199268832-3ea484081c7e?w=400&q=80"
19,"La La Land","Comedy, Drama, Music","While navigating their careers in Los
Angeles, a pianist and an actress fall in love while attempting to reconcile
their aspirations for the future.",8.0,"Ryan Gosling, Emma Stone, Rosemarie
DeWitt","love","https://images.unsplash.com/photo-1485686531765-ba63b07845a7?w=400&q=80"
20,"Pride & Prejudice","Drama, Romance","Sparks fly when spirited Elizabeth
Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds
himself falling in love with a woman beneath his class.",7.8,"Keira Knightley,
Matthew Macfadyen, Brenda
Blethyn","love","https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=400&q=80"
21,"Before Sunrise","Drama, Romance","A young man and woman meet on a train in
Europe, and wind up spending one evening together in Vienna. Unfortunately, both
know that this will probably be their only night together.",8.1,"Ethan Hawke,
Julie Delpy, Andrea
Eckert","love","https://images.unsplash.com/photo-1483058712412-4245e9b90334?w=400&q=80"
22,"Avengers: Endgame","Action, Adventure, Drama","After the devastating events
of Infinity War, the Avengers assemble once more in order to reverse Thanos
actions and restore balance to the universe.",8.4,"Robert Downey Jr., Chris
Evans, Mark Ruffalo","friends
together","https://images.unsplash.com/photo-1531259683007-016a7b628fc3?w=400&q=80"
23,"Inside Out","Animation, Adventure, Comedy","After young Riley is uprooted
from her Midwest life and moved to San Francisco, her emotions conflict on how
best to navigate a new city, house, and school.",8.1,"Amy Poehler, Bill Hader,
Lewis
Black","happy","https://images.unsplash.com/photo-1507608616759-54f48f0af0ee?w=400&q=80"
24,"Up","Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to
Paradise Falls in his house equipped with balloons, inadvertently taking a young
stowaway.",8.3,"Ed Asner, Jordan Nagai, John
Ratzenberger","sad","https://images.unsplash.com/photo-1499548450123-5e927376c793?w=400&q=80"
25,"Toy Story","Animation, Adventure, Comedy","A cowboy doll is profoundly
threatened and jealous when a new spaceman action figure supplants him as top
toy in a boy's bedroom.",8.3,"Tom Hanks, Tim Allen, Don Rickles","friends
together","https://images.unsplash.com/photo-1558981408-db0ecd8a1ee4?w=400&q=80"
26,"Superbad","Comedy","Two co-dependent high school seniors are forced to deal
with separation anxiety after their plan to stage a booze-soaked party goes
awry.",7.6,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse","friends
together","https://images.unsplash.com/photo-1528605248644-14dd04022da1?w=400&q=80"
27,"The Hangover","Comedy","Three buddies wake up from a bachelor party in Las
Vegas, with no memory of the previous night and the bachelor missing.",7.7,"Zach
Galifianakis, Bradley Cooper, Justin Bartha","friends
together","https://images.unsplash.com/photo-1571597984852-6a6c42171120?w=400&q=80"
28,"Grown Ups","Comedy","After their high school basketball coach passes away,
five good friends and former teammates reunite for a Fourth of July holiday
weekend.",5.9,"Adam Sandler, Kevin James, Chris Rock","friends
together","https://images.unsplash.com/photo-1529333166437-7750a6dd5a70?w=400&q=80"
29,"Schindler's List","Biography, Drama, History","In German-occupied Poland
during World War II, industrialist Oskar Schindler gradually becomes concerned
for his Jewish workforce after witnessing their persecution by the
Nazis.",9.0,"Liam Neeson, Ralph Fiennes, Ben
Kingsley","sad","https://images.unsplash.com/photo-1469598614039-ccfeb0a21111?w=400&q=80"
30,"The Green Mile","Crime, Drama, Fantasy","The lives of guards on Death Row
are affected by one of their charges: a black man accused of child murder and
rape, yet who has a mysterious gift.",8.6,"Tom Hanks, Michael Clarke Duncan,
David
Morse","sad","https://images.unsplash.com/photo-1507676184212-d0330a15183c?w=400&q=80"
31,"Spirited Away","Animation, Adventure, Family","During her family's move to
the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods,
witches, and spirits, and where humans are changed into beasts.",8.6,"Daveigh
Chase, Suzanne Pleshette, Miyu
Irino","vibe","https://images.unsplash.com/photo-1473220464506-695349e5d794?w=400&q=80"
32,"Blade Runner 2049","Action, Drama, Mystery","Young Blade Runner K's
discovery of a long-buried secret leads him to track down former Blade Runner
Rick Deckard, who's been missing for thirty years.",8.0,"Ryan Gosling, Harrison
Ford, Ana de
Armas","vibe","https://images.unsplash.com/photo-1515694346937-94d85e41e6f0?w=400&q=80"
33,"Dune","Action, Adventure, Drama","Feature adaptation of Frank Herbert's
science fiction novel, about the son of a noble family entrusted with the
protection of the most valuable asset and most vital element in the
galaxy.",8.0,"Timothée Chalamet, Rebecca Ferguson,
Zendaya","vibe","https://images.unsplash.com/photo-1547844075-802c6797bd4a?w=400&q=80"
34,"Amélie","Comedy, Romance","Amélie is an innocent and naive girl in Paris
with her own sense of justice. She decides to help those around her and, along
the way, discovers love.",8.3,"Audrey Tautou, Mathieu Kassovitz,
Rufus","happy","https://images.unsplash.com/photo-1499856871958-5b9627545d1a?w=400&q=80"
35,"The Pursuit of Happyness","Biography, Drama","A struggling salesman takes
custody of his son as he's poised to begin a life-changing professional
career.",8.0,"Will Smith, Thandiwe Newton, Jaden
Smith","happy","https://images.unsplash.com/photo-1506543730435-e2c1dce5073e?w=400&q=80"
36,"Crazy Rich Asians","Comedy, Romance","This contemporary romantic comedy,
based on a global bestseller, follows native New Yorker Rachel Chu to Singapore
to meet her boyfriend's family.",6.9,"Constance Wu, Henry Golding, Michelle
Yeoh","love","https://images.unsplash.com/photo-1522083111860-2641496a77d5?w=400&q=80"
37,"10 Things I Hate About You","Comedy, Drama, Romance","A pretty, popular
teenager can't go out on a date until her ill-tempered older sister
does.",7.3,"Heath Ledger, Julia Stiles, Joseph
Gordon-Levitt","love","https://images.unsplash.com/photo-1529123202249-4f6224188f6b?w=400&q=80"
38,"Clueless","Comedy, Romance","Shallow, rich and socially successful Cher is
at the top of her Beverly Hills high school's pecking scale.",6.9,"Alicia
Silverstone, Stacey Dash, Brittany
Murphy","happy","https://images.unsplash.com/photo-1483861250269-a178bc57f12e?w=400&q=80"
39,"Mean Girls","Comedy","Cady Heron is a hit with The Plastics, the A-list girl
clique at her new school, until she makes the mistake of falling for the
ex-boyfriend of alpha Plastic Regina George.",7.1,"Lindsay Lohan, Jonathan
Bennett, Rachel McAdams","friends
together","https://images.unsplash.com/photo-1518770660439-4636190af475?w=400&q=80"
40,"Good Will Hunting","Drama, Romance","Will Hunting, a janitor at M.I.T., has
a gift for mathematics, but needs help from a psychologist to find direction in
his life.",8.3,"Robin Williams, Matt Damon, Ben
Affleck","sad","https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&q=80"
